,Ch,Ig,Gr,Mi,F,Sum
 Excess kurtosis of the integrated profile,3.0,7.5,7.5,8.0,7.0,33.0
 Skewness of the integrated profile,6.0,7.5,7.5,6.0,6.0,33.0
 Standard deviation of the DM-SNR curve,4.0,4.5,4.5,5.0,5.0,23.0
 Mean of the integrated profile,5.0,1.0,1.0,7.0,8.0,22.0
 Skewness of the DM-SNR curve,8.0,4.5,4.5,4.0,1.0,22.0
 Excess kurtosis of the DM-SNR curve,2.0,4.5,4.5,3.0,4.0,18.0
 Mean of the DM-SNR curve,7.0,2.0,2.0,2.0,2.0,15.0
 Standard deviation of the integrated profile,1.0,4.5,4.5,1.0,3.0,14.0
